CIVIL,MECH,CSE,EE,EEE,ECE
"MECHANICAL ENGINEERING","FLUID MECHANICS","DISCRETE MATHEMATICS","DIGITAL ELECTRONICS","ANALOG ELECTRONIC CIRCUITS","DIGITAL CIRCUITS"
"Engineering Geology","APPLIED THERMODYNAMICS","COMPUTER ORGANISATION AND ARCHITECTURE","ELECTRICAL MACHINES - II","ELECTRICAL MACHINES - II","ANALOG CIRCUITS"
"Disaster Preparedness & Planning Management","STRENGTH OF MATERIALS","OPERATING SYSTEMS","ELECTRICAL AND ELECTRONIC MEASUREMENT","MICROPROCESSORS","SEMI-CONDUCTOR PHYSICS AND DEVICES"
"FLUID MECHANICS","ENGINEERING MATERIALS","DESIGN AND ANALYSIS OF ALGORITHM","ELECTRICAL AND ELECTRONIC MEASUREMENT LABORATORY","SIGNAL AND SYSTEMS","ANALOG COMMUNICATION"
"SOLID MECHANICS","INSTRUMENTATION AND CONTROL","DIGITAL ELECTRONICS","SIGNAL AND SYSTEMS","MATHEMATICS-III (PROBABILITY AND STATISTICS)","ELECTROMAGNETIC THEORY"
"STRUCTURAL ANALYSIS","FLUID MECHANICS LAB","HUMAN RESOURCE DEVELOPMENT AND ORGANISATIONAL BEHAVIOR","MATHEMATICS-III (PROBABILITY AND STATISTICS)","BIOLOGY","SEMI-CONDUCTOR PHYSICS AND DEVICES LAB"
"MATERIALS, TESTING & EVALUATION","STRENGTH OF MATERIALS LAB","ENVIRONMENTAL SCIENCE","BIOLOGY","ELECTRICAL MACHINES - II LAB",""
"CIVIL ENGINEERING – SOCIETAL & GLOBAL IMPACT","","DIGITAL ELECTRONICS LAB","DIGITAL ELECTRONICS LAB","",""
"MANAGEMENT 1","","","ELECTRICAL MACHINES - II LAB","",""
"OPEN ELECTIVE 1","","","","",""
"FLUID MECHANICS LAB","","","","",""
"MATERIALS, TESTING & EVALUATION LAB","","","","",""
