CIVIL,MECH,CSE,EE,EEE,ECE
"ENGINEERING PHYSICS","ENGINEERING PHYSICS","ENGINEERING CHEMISTRY","ENGINEERING CHEMISTRY","ENGINEERING CHEMISTRY","ENGINEERING CHEMISTRY"
"ENGINEERING MATHEMATICS II","ENGINEERING MATHEMATICS II","ENGINEERING MATHEMATICS II","ENGINEERING MATHEMATICS II","ENGINEERING MATHEMATICS II","ENGINEERING MATHEMATICS II"
"PROGRAMMING FOR PROBLEM SOLVING","PROGRAMMING FOR PROBLEM SOLVING","COMMUNICATIVE ENGLISH","COMMUNICATIVE ENGLISH","COMMUNICATIVE ENGLISH","COMMUNICATIVE ENGLISH"
"WORKSHOP PRACTICES","WORKSHOP PRACTICES","ENGINEERING CHEMISTRY LAB","BASIC ELECTRONICS","BASIC ELECTRONICS","BASIC ELECTRONICS"
"ELEMENTS OF MECHANICAL ENGINEERING","ENGINEERING PHYSICS LAB","COMMUNICATIVE ENGLISH LAB","ENGINEERING GRAPHICS AND DESIGN","ENGINEERING GRAPHICS AND DESIGN","ENGINEERING GRAPHICS AND DESIGN"
"ENGINEERING PHYSICS LAB","PROGRAMMING FOR PROBLEM SOLVING LAB","SPORTS/YOGA/NCC/NSS","ENGINEERING CHEMISTRY LAB","ENGINEERING CHEMISTRY LAB","ENGINEERING CHEMISTRY LAB"
"PROGRAMMING FOR PROBLEM SOLVING LAB","WORKSHOP PRACTICES LAB","INTRODUCTION TO WEB DESIGN","COMMUNICATIVE ENGLISH LAB","COMMUNICATIVE ENGLISH LAB","COMMUNICATIVE ENGLISH LAB"
"WORKSHOP PRACTICES LAB","SWATCH BHARAT MISSION    0 02 1","PYTHON PROGRAMMING","BASIC ELECTRONICS LAB","BASIC ELECTRONICS LAB","BASIC ELECTRONICS LAB"
"SWATCH BHARAT MISSION    0 02 1","","PYTHON PROGRAMMING LAB","ENGINEERING GRAPHICS AND DESIGN LAB","ENGINEERING GRAPHICS AND DESIGN LAB","ENGINEERING GRAPHICS AND DESIGN LAB"
"","","INTRODUCTION TO WEB DESIGN LAB","SPORTS/YOGA/NCC/NSS","SPORTS/YOGA/NCC/NSS","SPORTS/YOGA/NCC/NSS"
