CIVIL,MECH,CSE,EE,EEE,ECE
"SOLID MECHANICS","ENGINEERING MECHANICS","DIGITAL ELECTRONICS","ANALOG ELECTRONICS","DIGITAL ELECTRONICS","NETWORK THEORY"
"ENGINEERING MATHEMATICS-III","MATERIAL SCIENCE AND ENGINEERING","DATA STRUCTURE & ALGORITHMS","ENGINEERING MATHEMATICS-III","ENGINEERING MATHEMATICS-III","SIGNALS AND SYSTEMS"
"UNIVERSAL HUMAN VALUES","ENGINEERING MATHEMATICS-III","OBJECT ORIENTED PROGRAMMING USING JAVA","ENGINEERING MECHANICS","ELECTROMAGNETIC FIELD THEORY","MATHEMATICS - III"
"SURVEYING AND GEOMATICS","THERMODYNAMICS","DISCRETE MATHEMATICS AND GRAPH THEORY","UNIVERSAL HUMAN VALUES","SIGNALS AND SYSTEMS","OBJECT ORIENTED PROGRAMMING"
"FLUID MECHANICS","BASIC ELECTRONICS ENGINEERING","OPERATING SYSTEMS","INDIAN KNOWLEDGE SYSTEM","UNIVERSAL HUMAN VALUES","BASIC ELECTRONICS"
"MATERIALS, TESTING & EVALUATION","UNIVERSAL HUMAN VALUES","UNIVERSAL HUMAN VALUES","ANALOG ELECTRONICS LAB","INDIAN KNOWLEDGE SYSTEM","ELECTRICAL & ELECTRONIC MATERIAL"
"INDIAN KNOWLEDGE SYSTEM","INDIAN KNOWLEDGE SYSTEM","INDIAN KNOWLEDGE SYSTEM","INTERNSHIP","DIGITAL ELECTRONICS LAB","OBJECT ORIENTED PROGRAMMING LAB"
"SOLID MECHANICS LAB","ENGINEERING MECHANICS LAB","DIGITAL ELECTRONICS LAB","ENGINEERING MECHANICS LAB","INTERNSHIP","BASIC ELECTRONICS LAB"
"SURVEYING AND GEOMATICS LAB","BASIC ELECTRONIC ENGINEERING LAB","DATA STRUCTURE & ALGORITHMS LAB","","","ELECTRICAL & ELECTRONIC MATERIAL LAB"
"FLUID MECHANICS LAB","INTERNSHIP-I","OBJECT ORIENTED PROGRAMMING USING JAVA","","",""
"MATERIALS, TESTING & EVALUATION LAB","BASIC ELECTRONICS ENGINEERING LAB","OPERATING SYSTEMS LAB","","",""
"INTERNSHIP","","INTERNSHIP","","",""
"","","OBJECT ORIENTED PROGRAMMING USING JAVA LAB","","",""
